epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.912,1.21907,9.1923,0.67378,0.78239,1.40371,0.88843,0.95122,0.97096,0.57417,0.00943,0.0122,0.00034,3e-05,1.33425,7.43506,0.49933,0.74668,1.81623,0.000660377,0.000660377,0.000660377
2,488.081,1.32357,7.48426,0.60416,0.86171,1.4593,0.88699,0.86149,0.92777,0.52593,0.0131,0.0122,0.00085,0.00012,1.45135,7.65146,0.42881,1.68099,1.98642,0.00131391,0.00131391,0.00131391
3,728.41,1.35323,6.95084,0.57351,0.92927,1.47949,0.75793,0.57274,0.7312,0.41241,0.36861,0.23171,0.19,0.03759,1.66413,6.16405,0.53069,1.74012,2.06776,0.00195424,0.00195424,0.00195424
4,964.445,1.32135,6.35611,0.5387,0.89558,1.45497,0.67206,0.89024,0.86396,0.53765,0.47441,0.37805,0.33255,0.08692,1.34633,5.27642,0.42283,1.38612,1.80109,0.0019406,0.0019406,0.0019406
5,1195.28,1.2718,6.14632,0.51667,0.83755,1.42016,0.8309,0.85366,0.92444,0.56168,0.39923,0.35366,0.24497,0.06345,1.3658,5.69063,0.47136,0.89615,1.70981,0.0019208,0.0019208,0.0019208
6,1426.43,1.25308,5.7425,0.50254,0.82292,1.40175,0.88945,0.84146,0.94885,0.55189,0.64396,0.52439,0.43063,0.12704,1.35878,4.62239,0.41063,0.82885,1.73567,0.001901,0.001901,0.001901
7,1657.09,1.21522,5.62447,0.48686,0.79295,1.37918,0.96654,0.92683,0.98745,0.65663,0.68706,0.57317,0.49863,0.14912,1.20763,4.59912,0.39664,0.79786,1.59892,0.0018812,0.0018812,0.0018812
8,1887.78,1.20964,5.4725,0.46321,0.77154,1.36989,0.94921,0.95122,0.97074,0.60802,0.71366,0.67073,0.5753,0.1776,1.29665,3.94818,0.41895,0.67732,1.62431,0.0018614,0.0018614,0.0018614
9,2118.41,1.18897,5.28792,0.45345,0.76546,1.35662,0.9475,0.91463,0.98194,0.65883,0.82985,0.71378,0.70295,0.23906,1.11236,3.68537,0.40817,0.65223,1.5082,0.0018416,0.0018416,0.0018416
10,2348.92,1.15262,5.02879,0.43862,0.73364,1.34203,0.95027,0.92683,0.98606,0.67367,0.78436,0.75409,0.71506,0.26479,1.09439,3.66217,0.40567,0.61801,1.4619,0.0018218,0.0018218,0.0018218
11,2579.23,1.14033,4.93632,0.41533,0.70444,1.31963,0.91706,0.94391,0.97229,0.63331,0.76325,0.76829,0.70329,0.2499,1.25998,3.69556,0.34587,0.65024,1.60485,0.001802,0.001802,0.001802
12,2809.38,1.11416,4.88562,0.40728,0.69663,1.32004,0.97607,0.99479,0.99452,0.71722,0.76129,0.77787,0.70052,0.25676,1.04345,3.53543,0.35116,0.55304,1.4342,0.0017822,0.0017822,0.0017822
13,3039.82,1.1025,4.66025,0.39459,0.67753,1.31023,0.93949,0.94674,0.96688,0.64536,0.71647,0.68293,0.61036,0.20895,1.19683,3.60132,0.36251,0.67424,1.52363,0.0017624,0.0017624,0.0017624
14,3270.37,1.08868,4.53674,0.38071,0.6712,1.29522,0.94106,0.97362,0.98813,0.67461,0.79571,0.8075,0.79853,0.29945,1.11304,3.51672,0.28816,0.6275,1.49925,0.0017426,0.0017426,0.0017426
15,3501.41,1.11434,4.54904,0.36936,0.66998,1.29352,0.91065,0.99433,0.98513,0.73049,0.79406,0.79941,0.79198,0.28576,0.98186,3.39229,0.27378,0.55843,1.40305,0.0017228,0.0017228,0.0017228
16,3732.47,1.08844,4.32524,0.36379,0.66187,1.28914,0.97577,0.98225,0.98967,0.72336,0.92227,0.90244,0.91641,0.37601,1.00156,2.75218,0.26469,0.49855,1.38599,0.001703,0.001703,0.001703
17,3963.86,1.07928,4.39038,0.35772,0.6483,1.27839,0.97609,1,0.99476,0.67856,0.7643,0.7439,0.72075,0.28953,1.12735,3.29578,0.2716,0.54098,1.50705,0.0016832,0.0016832,0.0016832
18,4195.08,1.05072,4.27751,0.35259,0.62725,1.26524,0.99786,0.9878,0.99476,0.68617,0.88654,0.87805,0.85148,0.37038,1.07482,2.82536,0.2866,0.49512,1.4729,0.0016634,0.0016634,0.0016634
19,4426.22,1.03496,4.19131,0.34696,0.63082,1.26029,0.96447,0.99309,0.99172,0.69727,0.87755,0.87403,0.85463,0.35418,1.07623,2.95641,0.30123,0.55088,1.45083,0.0016436,0.0016436,0.0016436
20,4657.86,1.03972,4.03292,0.34445,0.62937,1.26383,0.95577,0.9878,0.98564,0.67572,0.8853,0.84714,0.86707,0.34194,1.14786,2.92952,0.25645,0.53251,1.48344,0.0016238,0.0016238,0.0016238
21,4889.79,1.04148,4.13676,0.33988,0.62141,1.25832,0.9737,0.9878,0.99156,0.70841,0.89934,0.89024,0.89172,0.41565,1.03767,2.672,0.2573,0.49156,1.45393,0.001604,0.001604,0.001604
22,5122.92,1.02437,4.01754,0.34072,0.61053,1.25859,0.93865,0.9878,0.99118,0.69081,0.90017,0.87969,0.8794,0.4216,1.10246,2.59637,0.25506,0.53236,1.46172,0.0015842,0.0015842,0.0015842
23,5356.15,1.03373,3.88553,0.3307,0.60022,1.24959,0.97613,0.99755,0.99464,0.71695,0.88068,0.90013,0.88173,0.41548,0.97225,2.69162,0.24111,0.46938,1.35963,0.0015644,0.0015644,0.0015644
24,5589.18,0.99664,3.83462,0.32662,0.58299,1.23253,0.98076,1,0.99476,0.73023,0.909,0.92683,0.88621,0.43746,0.97284,2.56249,0.27087,0.49067,1.3531,0.0015446,0.0015446,0.0015446
25,5822.84,1.00357,3.82082,0.32875,0.57283,1.23162,0.97603,0.99311,0.99452,0.73513,0.87543,0.90244,0.90619,0.43423,0.99349,2.68419,0.24682,0.50625,1.36726,0.0015248,0.0015248,0.0015248
26,6056.52,0.99705,3.77004,0.32666,0.57207,1.23663,0.95233,0.97453,0.98016,0.68487,0.90441,0.92683,0.91709,0.44301,1.08872,2.54475,0.24707,0.49717,1.46478,0.001505,0.001505,0.001505
27,6290.11,1.01081,3.77914,0.32484,0.58203,1.24014,0.98162,0.97561,0.99441,0.71841,0.88841,0.91463,0.87266,0.42594,1.0084,2.50437,0.25209,0.46281,1.38498,0.0014852,0.0014852,0.0014852
28,6524.61,0.97267,3.64326,0.3201,0.56845,1.2171,0.98795,0.99995,0.99488,0.73066,0.88818,0.90244,0.87867,0.40846,0.97692,2.62672,0.23305,0.47955,1.37771,0.0014654,0.0014654,0.0014654
29,6760.13,0.97828,3.65162,0.31971,0.57144,1.22811,0.96394,0.97792,0.9844,0.72864,0.93993,0.95415,0.94693,0.44714,1.0393,2.58524,0.24975,0.47102,1.43578,0.0014456,0.0014456,0.0014456
30,6996.45,0.99051,3.60934,0.30865,0.58563,1.2331,0.99243,0.9878,0.99488,0.69891,0.90611,0.90244,0.87936,0.41192,1.05316,2.5265,0.22786,0.5013,1.41821,0.0014258,0.0014258,0.0014258
31,7232.14,0.95938,3.53416,0.31296,0.55706,1.21438,0.95223,1,0.99344,0.73402,0.92251,0.95122,0.94322,0.42545,1.01941,2.53139,0.2472,0.47107,1.38876,0.001406,0.001406,0.001406
32,7467.53,0.95514,3.4848,0.30843,0.54552,1.19956,0.96458,0.9964,0.99379,0.73421,0.91682,0.95122,0.93956,0.47944,0.99561,2.35876,0.23517,0.45538,1.39238,0.0013862,0.0013862,0.0013862
33,7703.03,0.98118,3.38505,0.30496,0.54854,1.22722,1,0.98652,0.99453,0.73965,0.90087,0.90244,0.90524,0.45021,0.93939,2.45968,0.23193,0.45147,1.34042,0.0013664,0.0013664,0.0013664
34,7938.92,0.97155,3.44976,0.30423,0.55088,1.21057,0.98793,0.99794,0.99452,0.72782,0.95096,0.94587,0.94138,0.4531,0.99421,2.24609,0.21876,0.43343,1.37291,0.0013466,0.0013466,0.0013466
35,8175.36,0.95297,3.34629,0.29767,0.54021,1.20924,0.98681,1,0.99488,0.73649,0.90645,0.91463,0.90024,0.49525,0.949,2.21548,0.23005,0.4226,1.35472,0.0013268,0.0013268,0.0013268
36,8412.07,0.95329,3.23203,0.30035,0.53947,1.19665,0.98541,0.9878,0.99086,0.70362,0.88797,0.89024,0.85954,0.44009,1.05046,2.38555,0.23446,0.45715,1.42653,0.001307,0.001307,0.001307
37,8648.32,0.93658,3.27027,0.30035,0.53717,1.20011,0.98795,0.99949,0.99355,0.72247,0.95061,0.95122,0.94895,0.49623,1.02485,2.15602,0.24675,0.44064,1.38226,0.0012872,0.0012872,0.0012872
38,8885,0.93773,3.23972,0.29655,0.52761,1.19651,0.96375,0.9878,0.99068,0.72259,0.90424,0.92683,0.90815,0.50143,1.00206,2.19718,0.22619,0.4537,1.36311,0.0012674,0.0012674,0.0012674
39,9122.13,0.92347,3.17661,0.29883,0.52549,1.19161,0.96157,1,0.99357,0.71932,0.9262,0.96341,0.95446,0.47554,1.00246,2.18068,0.21662,0.44442,1.39306,0.0012476,0.0012476,0.0012476
40,9359.11,0.92626,3.12761,0.29742,0.52668,1.19104,0.97616,1,0.99404,0.72245,0.94044,0.96341,0.9575,0.52227,0.99269,2.03203,0.21616,0.46987,1.34457,0.0012278,0.0012278,0.0012278
41,9596.08,0.92499,3.1908,0.29492,0.52061,1.19433,0.9967,1,0.995,0.71136,0.9599,0.96341,0.95826,0.50674,1.02671,1.99868,0.21041,0.44849,1.38746,0.001208,0.001208,0.001208
42,9833.38,0.90134,3.11432,0.29133,0.51221,1.18106,0.97551,1,0.99452,0.71797,0.95935,0.95122,0.93931,0.5111,1.07522,2.06082,0.21001,0.42753,1.4389,0.0011882,0.0011882,0.0011882
43,10071.7,0.90365,3.12629,0.29116,0.51243,1.19602,0.99865,0.9878,0.99453,0.73735,0.95097,0.94619,0.93508,0.51036,0.99012,2.02775,0.21002,0.42566,1.35748,0.0011684,0.0011684,0.0011684
44,10309.5,0.90817,3.04515,0.28763,0.51696,1.1809,0.99629,1,0.995,0.73462,0.95181,0.96341,0.94811,0.53476,0.97345,1.89181,0.20016,0.43183,1.34367,0.0011486,0.0011486,0.0011486
45,10547.1,0.90446,3.10289,0.29588,0.50765,1.18442,0.97617,0.99912,0.99279,0.71658,0.92765,0.93902,0.92586,0.52527,1.02857,2.08904,0.20346,0.42156,1.41261,0.0011288,0.0011288,0.0011288
46,10785.5,0.88361,3.07676,0.28688,0.50281,1.17732,0.98596,1,0.995,0.72482,0.91553,0.93902,0.91414,0.51109,0.99183,2.18896,0.2148,0.44355,1.35293,0.001109,0.001109,0.001109
47,11023.7,0.89437,2.94635,0.28913,0.49965,1.18489,0.98624,1,0.99476,0.73674,0.96496,0.93902,0.95224,0.52442,0.98326,1.95475,0.20911,0.40507,1.33187,0.0010892,0.0010892,0.0010892
48,11262.8,0.87758,2.90383,0.28807,0.48973,1.1632,0.98791,0.99678,0.99488,0.7441,0.90326,0.92683,0.90311,0.50547,0.95598,2.09896,0.21007,0.4134,1.33734,0.0010694,0.0010694,0.0010694
49,11500.9,0.90747,2.8967,0.28573,0.51302,1.1817,0.97499,1,0.99452,0.73105,0.92743,0.95122,0.93346,0.5434,0.99325,1.97122,0.21862,0.41896,1.35767,0.0010496,0.0010496,0.0010496
50,11740,0.88322,2.84685,0.28589,0.48299,1.17105,0.97617,0.99925,0.99476,0.73586,0.95758,0.96341,0.9737,0.5434,1.01045,1.83672,0.20333,0.44154,1.35275,0.0010298,0.0010298,0.0010298
51,11979.9,0.88314,2.85827,0.29114,0.4814,1.17085,0.99867,1,0.995,0.74511,0.9722,0.96341,0.95805,0.5652,0.97746,1.8135,0.20693,0.39421,1.35188,0.00101,0.00101,0.00101
52,12219.3,0.86823,2.82689,0.2847,0.48354,1.16388,0.99703,1,0.995,0.73299,0.96025,0.96341,0.94702,0.56427,0.9798,1.84304,0.20744,0.42091,1.36599,0.0009902,0.0009902,0.0009902
53,12458.3,0.86522,2.75688,0.27791,0.48304,1.15773,1,0.98643,0.995,0.73348,0.98764,0.97465,0.98004,0.59452,0.99017,1.7242,0.19363,0.42797,1.34116,0.0009704,0.0009704,0.0009704
54,12698.6,0.84406,2.69304,0.27291,0.4756,1.14836,0.98744,1,0.995,0.74981,0.92776,0.92683,0.92314,0.58778,0.93791,1.97744,0.22332,0.41865,1.32718,0.0009506,0.0009506,0.0009506
55,12938.7,0.85055,2.74092,0.28045,0.47479,1.15001,0.98753,0.9878,0.99307,0.73835,0.98753,0.9878,0.98614,0.61367,0.99439,1.75627,0.20851,0.42819,1.34563,0.0009308,0.0009308,0.0009308
56,13177.5,0.87347,2.69153,0.2791,0.47806,1.17294,0.99191,1,0.995,0.74934,0.97944,0.9878,0.98699,0.61197,0.98124,1.66754,0.19879,0.39503,1.34324,0.000911,0.000911,0.000911
57,13417.8,0.85498,2.66597,0.27798,0.47361,1.15703,1,0.9987,0.995,0.74533,0.96935,0.96341,0.96235,0.58011,0.99896,1.77292,0.21352,0.39782,1.35623,0.0008912,0.0008912,0.0008912
58,13658.7,0.84514,2.60707,0.28173,0.46887,1.15625,0.98559,1,0.99476,0.74513,0.93891,0.95122,0.94097,0.59548,0.98765,1.74323,0.19652,0.39787,1.36069,0.0008714,0.0008714,0.0008714
59,13900,0.83434,2.60684,0.27388,0.46515,1.13781,1,0.99828,0.995,0.76608,0.96336,0.96193,0.95581,0.60725,0.96359,1.69936,0.19102,0.39513,1.33051,0.0008516,0.0008516,0.0008516
60,14141.8,0.83895,2.59165,0.27312,0.45465,1.14175,0.97999,1,0.99476,0.74286,0.96804,0.9878,0.98395,0.59459,0.9751,1.5561,0.18878,0.40701,1.3466,0.0008318,0.0008318,0.0008318
61,14383.3,0.83648,2.62246,0.27535,0.45934,1.14648,0.98642,0.9878,0.99421,0.74814,0.98494,0.9878,0.98573,0.59117,0.96199,1.68996,0.2008,0.40706,1.33249,0.000812,0.000812,0.000812
62,14625.3,0.81336,2.54457,0.27122,0.45113,1.13839,0.99871,1,0.995,0.73877,0.98653,0.9878,0.98756,0.59596,0.96792,1.55422,0.20308,0.39387,1.34082,0.0007922,0.0007922,0.0007922
63,14867.2,0.82509,2.51766,0.27108,0.45927,1.14432,0.99709,1,0.995,0.73019,0.94845,0.95122,0.94606,0.60294,0.98263,1.64583,0.19063,0.41487,1.3896,0.0007724,0.0007724,0.0007724
64,15108.8,0.81996,2.49584,0.27256,0.45823,1.1388,0.9794,0.9878,0.99476,0.74162,0.96731,0.97561,0.98287,0.62425,1.00119,1.52853,0.18964,0.4136,1.37365,0.0007526,0.0007526,0.0007526
65,15349.8,0.8131,2.42398,0.26688,0.45292,1.1291,0.99691,1,0.995,0.73564,0.9726,0.97561,0.9651,0.62038,0.99081,1.50143,0.19135,0.404,1.36692,0.0007328,0.0007328,0.0007328
66,15584.5,0.81615,2.42888,0.27095,0.45057,1.13143,1,1,0.995,0.75193,0.97552,0.97561,0.97314,0.64303,0.974,1.5251,0.2085,0.3979,1.34292,0.000713,0.000713,0.000713
67,15826.9,0.81934,2.38447,0.26411,0.45472,1.13566,0.99879,1,0.995,0.74941,0.97438,0.97561,0.97265,0.61035,0.963,1.56566,0.19458,0.41384,1.34183,0.0006932,0.0006932,0.0006932
68,16070.4,0.8069,2.3694,0.26987,0.43735,1.12718,0.99046,1,0.995,0.74713,0.96606,0.97561,0.96964,0.65622,0.98789,1.42598,0.18995,0.40409,1.35984,0.0006734,0.0006734,0.0006734
69,16313.2,0.8059,2.31268,0.26336,0.4437,1.12775,0.98799,1,0.995,0.74946,0.9639,0.97561,0.97076,0.61942,1.00392,1.53456,0.18871,0.39357,1.3577,0.0006536,0.0006536,0.0006536
70,16556,0.79712,2.28873,0.26454,0.43754,1.12165,0.98692,1,0.99416,0.76164,0.97488,0.9878,0.98644,0.65746,0.96329,1.40646,0.18934,0.39754,1.34091,0.0006338,0.0006338,0.0006338
71,16798.2,0.78694,2.33205,0.26259,0.43836,1.12193,0.9891,1,0.995,0.76529,0.9891,1,0.995,0.66496,0.94877,1.41496,0.18888,0.37205,1.34241,0.000614,0.000614,0.000614
72,17040.5,0.78498,2.27559,0.2616,0.42628,1.1238,0.98544,1,0.99488,0.76038,0.96135,0.97561,0.97221,0.66094,0.93429,1.49201,0.17918,0.3813,1.323,0.0005942,0.0005942,0.0005942
73,17283.5,0.78781,2.21242,0.25718,0.43162,1.12314,0.98756,1,0.995,0.76363,0.97551,0.9878,0.9877,0.66557,0.98588,1.38532,0.18553,0.38678,1.35584,0.0005744,0.0005744,0.0005744
74,17526.7,0.79131,2.27902,0.26203,0.4238,1.1178,0.99907,1,0.995,0.73521,0.9747,0.97561,0.97156,0.64911,1.01144,1.48186,0.18392,0.38862,1.36787,0.0005546,0.0005546,0.0005546
75,17769.5,0.77794,2.30177,0.26302,0.42578,1.11103,0.99822,1,0.995,0.75894,0.97387,0.97561,0.97203,0.64793,0.96059,1.38721,0.18532,0.38453,1.33999,0.0005348,0.0005348,0.0005348
76,18014.1,0.77565,2.18299,0.26388,0.42106,1.10548,0.99916,1,0.995,0.77049,0.98697,0.9878,0.98937,0.65405,0.96441,1.35572,0.17896,0.37538,1.3304,0.000515,0.000515,0.000515
77,18257.6,0.7634,2.13691,0.26185,0.41885,1.09911,0.99809,1,0.995,0.75846,0.99809,1,0.995,0.65874,0.9776,1.34395,0.18666,0.37429,1.36027,0.0004952,0.0004952,0.0004952
78,18502.5,0.7721,2.27313,0.26635,0.4259,1.11296,0.999,1,0.995,0.74941,0.97463,0.97561,0.96784,0.65113,0.982,1.4233,0.18666,0.37567,1.36579,0.0004754,0.0004754,0.0004754
79,18750.9,0.74322,2.11133,0.25516,0.40477,1.09945,0.99004,1,0.995,0.73994,0.99004,1,0.995,0.67909,1.00116,1.33424,0.18436,0.3926,1.36215,0.0004556,0.0004556,0.0004556
80,18995.8,0.76978,2.11788,0.2621,0.41526,1.11432,0.99306,1,0.995,0.76138,0.96884,0.97561,0.97149,0.6772,0.95008,1.48649,0.18929,0.38319,1.35521,0.0004358,0.0004358,0.0004358
81,19242.9,0.76231,2.12617,0.25854,0.41188,1.10075,0.99918,1,0.995,0.77071,0.97481,0.97561,0.97889,0.65683,0.9318,1.43843,0.18437,0.36023,1.33896,0.000416,0.000416,0.000416
82,19490.1,0.75093,2.12271,0.2584,0.41643,1.11085,0.99918,1,0.995,0.75426,0.98699,0.9878,0.98825,0.67599,0.97546,1.37956,0.18621,0.37565,1.37712,0.0003962,0.0003962,0.0003962
83,19735.9,0.74095,2.11496,0.25866,0.40967,1.09773,0.99905,1,0.995,0.75154,0.98686,0.9878,0.98725,0.66338,0.97815,1.33262,0.18977,0.37112,1.37226,0.0003764,0.0003764,0.0003764
84,19978.8,0.73223,2.06219,0.25319,0.40463,1.09212,0.99916,1,0.995,0.75727,0.98698,0.9878,0.98803,0.67245,0.97889,1.30429,0.18833,0.37944,1.36411,0.0003566,0.0003566,0.0003566
85,20224.6,0.74837,2.03841,0.258,0.40321,1.09668,0.9991,1,0.995,0.75669,0.9991,1,0.995,0.68695,0.96747,1.28488,0.18394,0.37591,1.3475,0.0003368,0.0003368,0.0003368
86,20471.9,0.73212,2.02748,0.24901,0.3982,1.09715,0.99914,1,0.995,0.75821,0.97477,0.97561,0.97149,0.69886,0.96416,1.31587,0.18365,0.37571,1.34055,0.000317,0.000317,0.000317
87,20718.8,0.72845,2.00389,0.25351,0.39358,1.09288,0.99878,1,0.995,0.75768,0.9866,0.9878,0.98905,0.69357,0.97674,1.27444,0.18863,0.38139,1.36349,0.0002972,0.0002972,0.0002972
88,20965.1,0.7144,1.96262,0.25288,0.39262,1.09287,0.9991,1,0.995,0.74763,0.98692,0.9878,0.98818,0.68756,0.99856,1.27225,0.18332,0.38567,1.37845,0.0002774,0.0002774,0.0002774
89,21213.3,0.72769,1.97778,0.25016,0.39057,1.08701,0.999,1,0.995,0.7699,0.98682,0.9878,0.98944,0.69529,0.96349,1.28315,0.17961,0.36673,1.34761,0.0002576,0.0002576,0.0002576
90,21460.1,0.71345,1.94758,0.25322,0.38969,1.08843,0.99885,1,0.995,0.76414,0.98666,0.9878,0.98858,0.70768,0.97786,1.3489,0.18749,0.37026,1.36709,0.0002378,0.0002378,0.0002378
91,21704.4,0.60517,1.28847,0.18617,0.29393,1.08151,0.99899,1,0.995,0.74825,0.98681,0.9878,0.98865,0.70845,0.9621,1.27686,0.18863,0.36684,1.36118,0.000218,0.000218,0.000218
92,21948.8,0.59826,1.21017,0.17912,0.28292,1.07076,0.9982,1,0.995,0.74962,0.9982,1,0.995,0.70542,0.98244,1.20514,0.18206,0.37466,1.38033,0.0001982,0.0001982,0.0001982
93,22192.7,0.57366,1.18346,0.17135,0.26995,1.05551,0.99904,1,0.995,0.75408,0.99904,1,0.995,0.71624,0.9757,1.18915,0.18116,0.37824,1.37144,0.0001784,0.0001784,0.0001784
94,22435.4,0.57146,1.15548,0.1679,0.27265,1.06574,0.99914,1,0.995,0.76578,0.99914,1,0.995,0.71639,0.96932,1.14217,0.1825,0.36939,1.37962,0.0001586,0.0001586,0.0001586
95,22675.4,0.55847,1.14802,0.16913,0.26885,1.05009,0.99915,1,0.995,0.75458,0.97478,0.97561,0.97126,0.71133,0.97774,1.17775,0.18225,0.36329,1.37925,0.0001388,0.0001388,0.0001388
96,22922.4,0.55263,1.12973,0.16649,0.26593,1.04993,0.99917,1,0.995,0.76257,0.9748,0.97561,0.97186,0.70668,0.96387,1.15118,0.18185,0.36391,1.37411,0.000119,0.000119,0.000119
97,23168.3,0.54663,1.12472,0.16315,0.2618,1.04191,0.99917,1,0.995,0.75573,0.9748,0.97561,0.97197,0.71926,0.97979,1.17713,0.1814,0.36204,1.39161,9.92e-05,9.92e-05,9.92e-05
98,23415.4,0.5509,1.10336,0.16117,0.2634,1.04664,0.99922,1,0.995,0.75946,0.98704,0.9878,0.99047,0.72384,0.99346,1.17832,0.1828,0.36692,1.40772,7.94e-05,7.94e-05,7.94e-05
99,23660.4,0.54781,1.10459,0.16484,0.26385,1.05269,0.99922,1,0.995,0.76656,0.98703,0.9878,0.99053,0.72611,0.98241,1.17054,0.18054,0.36354,1.39371,5.96e-05,5.96e-05,5.96e-05
100,23909.7,0.53673,1.08221,0.15887,0.25967,1.03384,0.99922,1,0.995,0.76383,0.97485,0.97561,0.97281,0.72053,0.98803,1.15207,0.17927,0.36562,1.39669,3.98e-05,3.98e-05,3.98e-05
